timestamp,line_id,shift,total_produced,total_defects,defect_rate,defect_type,rework_count,scrap_count
2024-02-21 23:20:26.637849,L1,1,11448,220,1.92,Defaut_Surface,66,154
2024-02-22 07:20:26.637849,L1,2,11285,140,1.24,Defaut_Surface,42,98
2024-02-22 15:20:26.637849,L1,3,11916,713,5.99,Dimension_Hors_Tolerance,213,499
2024-02-21 23:20:26.637849,L2,1,9864,281,2.85,Impression_Defectueuse,84,196
2024-02-22 07:20:26.637849,L2,2,11233,133,1.19,Contamination,39,93
2024-02-22 15:20:26.637849,L2,3,10811,300,2.78,Impression_Defectueuse,90,210
2024-02-21 23:20:26.637849,L3,1,10225,202,1.98,Contamination,60,141
2024-02-22 07:20:26.637849,L3,2,9073,609,6.72,Impression_Defectueuse,182,426
2024-02-22 15:20:26.637849,L3,3,9155,216,2.36,Contamination,64,151
2024-02-22 23:20:26.637849,L1,1,8898,132,1.48,Impression_Defectueuse,39,92
2024-02-23 07:20:26.637849,L1,2,11485,347,3.03,Impression_Defectueuse,104,242
2024-02-23 15:20:26.637849,L1,3,11732,766,6.53,Pliage_Incorrect,229,536
2024-02-22 23:20:26.637849,L2,1,9152,596,6.52,Deformation,178,417
2024-02-23 07:20:26.637849,L2,2,9481,365,3.85,Deformation,109,255
2024-02-23 15:20:26.637849,L2,3,9507,674,7.09,Contamination,202,471
2024-02-22 23:20:26.637849,L3,1,11162,653,5.86,Defaut_Surface,195,457
2024-02-23 07:20:26.637849,L3,2,8537,152,1.79,Deformation,45,106
2024-02-23 15:20:26.637849,L3,3,8175,399,4.89,Contamination,119,279
2024-02-23 23:20:26.637849,L1,1,11184,458,4.1,Deformation,137,320
2024-02-24 07:20:26.637849,L1,2,10501,159,1.51,Dimension_Hors_Tolerance,47,111
2024-02-24 15:20:26.637849,L1,3,9900,314,3.17,Pliage_Incorrect,94,219
2024-02-23 23:20:26.637849,L2,1,8259,394,4.78,Contamination,118,275
2024-02-24 07:20:26.637849,L2,2,11883,815,6.86,Pliage_Incorrect,244,570
2024-02-24 15:20:26.637849,L2,3,8871,450,5.08,Dimension_Hors_Tolerance,135,315
2024-02-23 23:20:26.637849,L3,1,11413,481,4.22,Pliage_Incorrect,144,336
2024-02-24 07:20:26.637849,L3,2,8967,428,4.78,Defaut_Surface,128,299
2024-02-24 15:20:26.637849,L3,3,10003,279,2.79,Deformation,83,195
2024-02-26 23:20:26.637849,L1,1,8452,410,4.86,Contamination,123,287
2024-02-27 07:20:26.637849,L1,2,10475,565,5.4,Deformation,169,395
2024-02-27 15:20:26.637849,L1,3,8275,97,1.18,Dimension_Hors_Tolerance,29,67
2024-02-26 23:20:26.637849,L2,1,8396,283,3.37,Contamination,84,198
2024-02-27 07:20:26.637849,L2,2,9845,645,6.55,Impression_Defectueuse,193,451
2024-02-27 15:20:26.637849,L2,3,9399,284,3.02,Pliage_Incorrect,85,198
2024-02-26 23:20:26.637849,L3,1,11801,447,3.79,Defaut_Surface,134,312
2024-02-27 07:20:26.637849,L3,2,11295,742,6.57,Dimension_Hors_Tolerance,222,519
2024-02-27 15:20:26.637849,L3,3,10933,670,6.13,Deformation,201,468
2024-02-27 23:20:26.637849,L1,1,8399,593,7.06,Defaut_Surface,177,415
2024-02-28 07:20:26.637849,L1,2,11205,602,5.38,Pliage_Incorrect,180,421
2024-02-28 15:20:26.637849,L1,3,9971,797,8.0,Deformation,239,557
2024-02-27 23:20:26.637849,L2,1,8596,278,3.24,Deformation,83,194
2024-02-28 07:20:26.637849,L2,2,11193,856,7.65,Deformation,256,599
2024-02-28 15:20:26.637849,L2,3,8377,112,1.34,Pliage_Incorrect,33,78
2024-02-27 23:20:26.637849,L3,1,11270,850,7.55,Contamination,255,595
2024-02-28 07:20:26.637849,L3,2,9162,463,5.06,Defaut_Surface,138,324
2024-02-28 15:20:26.637849,L3,3,9782,282,2.89,Impression_Defectueuse,84,197
2024-02-28 23:20:26.637849,L1,1,10253,200,1.96,Contamination,60,140
2024-02-29 07:20:26.637849,L1,2,10878,510,4.69,Deformation,153,357
2024-02-29 15:20:26.637849,L1,3,10528,429,4.08,Defaut_Surface,128,300
2024-02-28 23:20:26.637849,L2,1,8475,120,1.43,Contamination,36,84
2024-02-29 07:20:26.637849,L2,2,9683,378,3.91,Deformation,113,264
2024-02-29 15:20:26.637849,L2,3,9180,277,3.03,Deformation,83,193
