stop_id,line_id,machine_id,stop_type,start_time,end_time,duration_minutes,description,operator,resolved
1,L1,M1-1,Panne_Electrique,2024-02-22 08:44:26.637849,2024-02-22 10:30:26.637849,106,Panne_Electrique sur M1-1,OP10,True
2,L1,M1-1,Bourrage,2024-02-22 07:45:26.637849,2024-02-22 09:44:26.637849,119,Bourrage sur M1-1,OP1,True
3,L1,M1-3,Reglage,2024-02-22 18:12:26.637849,2024-02-22 19:08:26.637849,56,Reglage sur M1-3,OP4,True
4,L1,M1-2,Panne_Mecanique,2024-02-22 17:46:26.637849,2024-02-22 19:09:26.637849,83,Panne_Mecanique sur M1-2,OP2,True
5,L1,M1-3,Reglage,2024-02-22 19:03:26.637849,2024-02-22 20:37:26.637849,94,Reglage sur M1-3,OP11,True
6,L1,M1-1,Attente_Operateur,2024-02-22 13:29:26.637849,2024-02-22 13:44:26.637849,15,Attente_Operateur sur M1-1,OP14,True
7,L1,M1-3,Panne_Electrique,2024-02-22 12:51:26.637849,2024-02-22 14:32:26.637849,101,Panne_Electrique sur M1-3,OP11,True
8,L1,M1-3,Panne_Electrique,2024-02-22 13:56:26.637849,2024-02-22 14:35:26.637849,39,Panne_Electrique sur M1-3,OP12,True
9,L1,M1-1,Attente_Operateur,2024-02-22 05:34:26.637849,2024-02-22 06:10:26.637849,36,Attente_Operateur sur M1-1,OP10,True
10,L2,M2-3,Probleme_Qualite,2024-02-22 09:59:26.637849,2024-02-22 11:56:26.637849,117,Probleme_Qualite sur M2-3,OP6,True
11,L2,M2-3,Bourrage,2024-02-22 12:23:26.637849,2024-02-22 13:11:26.637849,48,Bourrage sur M2-3,OP6,True
12,L2,M2-4,Nettoyage,2024-02-22 19:56:26.637849,2024-02-22 20:43:26.637849,47,Nettoyage sur M2-4,OP9,True
13,L2,M2-2,Maintenance_Preventive,2024-02-22 17:09:26.637849,2024-02-22 17:53:26.637849,44,Maintenance_Preventive sur M2-2,OP2,True
14,L2,M2-4,Maintenance_Preventive,2024-02-22 18:39:26.637849,2024-02-22 19:10:26.637849,31,Maintenance_Preventive sur M2-4,OP1,True
15,L3,M3-1,Panne_Electrique,2024-02-22 15:06:26.637849,2024-02-22 16:49:26.637849,103,Panne_Electrique sur M3-1,OP8,True
16,L3,M3-1,Changement_Format,2024-02-22 16:03:26.637849,2024-02-22 17:10:26.637849,67,Changement_Format sur M3-1,OP14,True
17,L3,M3-1,Attente_Materiel,2024-02-22 13:14:26.637849,2024-02-22 15:06:26.637849,112,Attente_Materiel sur M3-1,OP4,True
18,L3,M3-2,Reglage,2024-02-22 16:21:26.637849,2024-02-22 17:41:26.637849,80,Reglage sur M3-2,OP2,True
19,L1,M1-3,Probleme_Qualite,2024-02-23 11:00:26.637849,2024-02-23 12:53:26.637849,113,Probleme_Qualite sur M1-3,OP11,True
